MAINTENANCE_AGENCY_ID,MAPPING_ID,NAME,MAPPING_TYPE,CODE,ALGORITHM,MEMBER_MAPPING_ID,VARIABLE_MAPPING_ID
ECB,CSDB_AMOUNTOUTSTANDING,CSDB_AMOUNTOUTSTANDING,A,CSDB_AMOUNTOUTSTANDING,,,CSDB_AMOUNTOUTSTANDING
ECB,CSDB_AMOUNTOUTSTANDING_EUR,CSDB_AMOUNTOUTSTANDING_EUR,A,CSDB_AMOUNTOUTSTANDING_EUR,,,CSDB_AMOUNTOUTSTANDING_EUR
ECB,CSDB_AMOUNTOUTSTANDINGTYPE,Mapping of Amounts Outstanding type for the template CSDBAMOUNTOUTSTANDINGTYPE,E,CSDB_AMOUNTOUTSTANDINGTYPE,,CSDB_AMOUNTOUTSTANDINGTYPE,CSDB_AMOUNTOUTSTANDINGTYPE
ECB,CSDB_CLOSINGPRICE,CSDB_CLOSINGPRICE,A,CSDB_CLOSINGPRICE,,,CSDB_CLOSINGPRICE
ECB,CSDB_CLOSINGPRICE_EUR,CSDB_CLOSINGPRICE_EUR,A,CSDB_CLOSINGPRICE_EUR,,,CSDB_CLOSINGPRICE_EUR
ECB,CSDB_CORRECTION_DATE,CSDB_CORRECTION_DATE,A,CSDB_CORRECTION_DATE,,,CSDB_CORRECTION_DATE
ECB,CSDB_COUPONDATE,CSDB_COUPONDATE,A,CSDB_COUPONDATE,,,CSDB_COUPONDATE
ECB,CSDB_COUPONRATE,CSDB_COUPONRATE,A,CSDB_COUPONRATE,,,CSDB_COUPONRATE
ECB,CSDB_DEBTACCRUALCREDITOR,CSDB_DEBTACCRUALCREDITOR,A,CSDB_DEBTACCRUALCREDITOR,,,CSDB_DEBTACCRUALCREDITOR
ECB,CSDB_DEBTACCRUALDEBTOR,CSDB_DEBTACCRUALDEBTOR,A,CSDB_DEBTACCRUALDEBTOR,,,CSDB_DEBTACCRUALDEBTOR
ECB,CSDB_DEBTACCRUALDEBTOR_DM,Mapping of Accrued income factor – value type  for the template CSDBDEBTACCRUALDEBTORDM,E,CSDB_DEBTACCRUALDEBTOR_DM,,CSDB_DEBTACCRUALDEBTOR_DM,CSDB_DEBTACCRUALDEBTOR_DM
ECB,CSDB_DIVIDENDAMOUNT,CSDB_DIVIDENDAMOUNT,A,CSDB_DIVIDENDAMOUNT,,,CSDB_DIVIDENDAMOUNT
ECB,CSDB_DIVIDENDAMOUNT_EUR,CSDB_DIVIDENDAMOUNT_EUR,A,CSDB_DIVIDENDAMOUNT_EUR,,,CSDB_DIVIDENDAMOUNT_EUR
ECB,CSDB_DIVIDENDAMOUNTTYPE,Mapping of Dividend amount type for the template CSDBDIVIDENDAMOUNTTYPE,E,CSDB_DIVIDENDAMOUNTTYPE,,CSDB_DIVIDENDAMOUNTTYPE,CSDB_DIVIDENDAMOUNTTYPE
ECB,CSDB_DIVIDENDSETTLEMENTDATE,CSDB_DIVIDENDSETTLEMENTDATE,A,CSDB_DIVIDENDSETTLEMENTDATE,,,CSDB_DIVIDENDSETTLEMENTDATE
ECB,CSDB_EXTERNALCODE_ISIN,CSDB_EXTERNALCODE_ISIN,A,CSDB_EXTERNALCODE_ISIN,,,CSDB_EXTERNALCODE_ISIN
ECB,CSDB_EXTERNALCODE_NATIONAL,CSDB_EXTERNALCODE_NATIONAL,A,CSDB_EXTERNALCODE_NATIONAL,,,CSDB_EXTERNALCODE_NATIONAL
ECB,CSDB_HASEMBEDDEDOPTION,Mapping of Has Embedded Option for the template CSDBHASEMBEDDEDOPTION,E,CSDB_HASEMBEDDEDOPTION,,CSDB_HASEMBEDDEDOPTION,CSDB_HASEMBEDDEDOPTION
ECB,CSDB_IDIRASSETSECTYPE,Mapping of Asset securitisation type for the template CSDBIDIRASSETSECTYPE,E,CSDB_IDIRASSETSECTYPE,,CSDB_IDIRASSETSECTYPE,CSDB_IDIRASSETSECTYPE
ECB,CSDB_IDIRCLASSIFICATIONCODE_ESAI10,Mapping of Instrument ESA 2010 class for the template CSDBIDIRCLASSIFICATIONCODEESAI10,E,CSDB_IDIRCLASSIFICATIONCODE_ESAI10,,CSDB_IDIRCLASSIFICATIONCODE_ESAI10,CSDB_IDIRCLASSIFICATIONCODE_ESAI10
ECB,CSDB_IDIRCLASSIFICATIONCODE_ESAO10,Mapping of Issuer ESA 2010 sector for the template CSDBIDIRCLASSIFICATIONCODEESAO10,E,CSDB_IDIRCLASSIFICATIONCODE_ESAO10,,CSDB_IDIRCLASSIFICATIONCODE_ESAO10,CSDB_IDIRCLASSIFICATIONCODE_ESAO10
ECB,CSDB_IDIRCLASSIFICATIONCODE_NACE,Mapping of Issuer NACE sector  for the template CSDBIDIRCLASSIFICATIONCODENACE,E,CSDB_IDIRCLASSIFICATIONCODE_NACE,,CSDB_IDIRCLASSIFICATIONCODE_NACE,CSDB_IDIRCLASSIFICATIONCODE_NACE
ECB,CSDB_IDIRCOUNTRY,Mapping of Issuer country for the template CSDBIDIRCOUNTRY,E,CSDB_IDIRCOUNTRY,,CSDB_IDIRCOUNTRY,CSDB_IDIRCOUNTRY
ECB,CSDB_IDIRCOUPONFREQUENCY,Mapping of Last Coupon frequency for the template CSDBIDIRCOUPONFREQUENCY,E,CSDB_IDIRCOUPONFREQUENCY,,CSDB_IDIRCOUPONFREQUENCY,CSDB_IDIRCOUPONFREQUENCY
ECB,CSDB_IDIRCOUPONTYPE,Mapping of Coupon type for the template CSDBIDIRCOUPONTYPE,E,CSDB_IDIRCOUPONTYPE,,CSDB_IDIRCOUPONTYPE,CSDB_IDIRCOUPONTYPE
ECB,CSDB_IDIRCURRENCY_AMOUNTISSUED,Mapping of Currency of the amount outstanding for the template CSDBIDIRCURRENCYAMOUNTISSUED,E,CSDB_IDIRCURRENCY_AMOUNTISSUED,,CSDB_IDIRCURRENCY_AMOUNTISSUED,CSDB_IDIRCURRENCY_AMOUNTISSUED
ECB,CSDB_IDIRCURRENCY_AMOUNTOUTST,Mapping of Currency of the amount issued for the template CSDBIDIRCURRENCYAMOUNTOUTST,E,CSDB_IDIRCURRENCY_AMOUNTOUTST,,CSDB_IDIRCURRENCY_AMOUNTOUTST,CSDB_IDIRCURRENCY_AMOUNTOUTST
ECB,CSDB_IDIRCURRENCY_COUPON,Mapping of Coupon currency for the template CSDBIDIRCURRENCYCOUPON,E,CSDB_IDIRCURRENCY_COUPON,,CSDB_IDIRCURRENCY_COUPON,CSDB_IDIRCURRENCY_COUPON
ECB,CSDB_IDIRCURRENCY_DIVIDEND,Mapping of Dividend currency for the template CSDBIDIRCURRENCYDIVIDEND,E,CSDB_IDIRCURRENCY_DIVIDEND,,CSDB_IDIRCURRENCY_DIVIDEND,CSDB_IDIRCURRENCY_DIVIDEND
ECB,CSDB_IDIRCURRENCY_NOMINAL,Mapping of Nominal currency for the template CSDBIDIRCURRENCYNOMINAL,E,CSDB_IDIRCURRENCY_NOMINAL,,CSDB_IDIRCURRENCY_NOMINAL,CSDB_IDIRCURRENCY_NOMINAL
ECB,CSDB_IDIRCURRENCY_PRICE,Mapping of Price currency for the template CSDBIDIRCURRENCYPRICE,E,CSDB_IDIRCURRENCY_PRICE,,CSDB_IDIRCURRENCY_PRICE,CSDB_IDIRCURRENCY_PRICE
