VARIABLE_MAPPING_ID,MAINTENANCE_AGENCY_ID,CODE,NAME
CSDB_ISSUEREXTERNALCODE_BEI,ECB,CSDB_ISSUEREXTERNALCODE_BEI,CSDB_ISSUEREXTERNALCODE_BEI
CSDB_ISSUEREXTERNALCODE_LEI,ECB,CSDB_ISSUEREXTERNALCODE_LEI,CSDB_ISSUEREXTERNALCODE_LEI
CSDB_ISSUEREXTERNALCODE_MFI,ECB,CSDB_ISSUEREXTERNALCODE_MFI,CSDB_ISSUEREXTERNALCODE_MFI
CSDB_DIVIDENDSETTLEMENTDATE,ECB,CSDB_DIVIDENDSETTLEMENTDATE,CSDB_DIVIDENDSETTLEMENTDATE
CSDB_IDIRCURRENCY_REDEMPTION,ECB,CSDB_IDIRCURRENCY_REDEMPTION,Mapping of Redemption currency for the template CSDBIDIRCURRENCYREDEMPTION
CSDB_VA_TOTALOUTSTANDDEBTEUR,ECB,CSDB_VA_TOTALOUTSTANDDEBTEUR,CSDB_VA_TOTALOUTSTANDDEBTEUR
CSDB_MONTHLYAVERAGEPRICE_EUR,ECB,CSDB_MONTHLYAVERAGEPRICE_EUR,CSDB_MONTHLYAVERAGEPRICE_EUR
CSDB_IDIRORGANISATION_ISSUER,ECB,CSDB_IDIRORGANISATION_ISSUER,CSDB_IDIRORGANISATION_ISSUER
CSDB_IDIRREDEMPTIONFREQUENCY,ECB,CSDB_IDIRREDEMPTIONFREQUENCY,Mapping of Redemption frequency for the template CSDBIDIRREDEMPTIONFREQUENCY
CSDB_MARKETCAPITALISATION_EUR,ECB,CSDB_MARKETCAPITALISATION_EUR,CSDB_MARKETCAPITALISATION_EUR
CSDB_VA_RESIDUALMATURITYCLASS,ECB,CSDB_VA_RESIDUALMATURITYCLASS,Mapping of Residual maturity class for the template CSDBVARESIDUALMATURITYCLASS
CSDB_IDIRCURRENCY_AMOUNTOUTST,ECB,CSDB_IDIRCURRENCY_AMOUNTOUTST,Mapping of Currency of the amount issued for the template CSDBIDIRCURRENCYAMOUNTOUTST
CSDB_IDIRCURRENCY_AMOUNTISSUED,ECB,CSDB_IDIRCURRENCY_AMOUNTISSUED,Mapping of Currency of the amount outstanding for the template CSDBIDIRCURRENCYAMOUNTISSUED
CSDB_VA_TOTALOUTSTANDEQUITYEUR,ECB,CSDB_VA_TOTALOUTSTANDEQUITYEUR,CSDB_VA_TOTALOUTSTANDEQUITYEUR
CSDB_VA_PUBLICATIONPRICESTDDEV,ECB,CSDB_VA_PUBLICATIONPRICESTDDEV,CSDB_VA_PUBLICATIONPRICESTDDEV
CSDB_IDIRCLASSIFICATIONCODE_NACE,ECB,CSDB_IDIRCLASSIFICATIONCODE_NACE,Mapping of Issuer NACE sector  for the template CSDBIDIRCLASSIFICATIONCODENACE
CSDB_IDIRCLASSIFICATIONCODE_ESAO10,ECB,CSDB_IDIRCLASSIFICATIONCODE_ESAO10,Mapping of Issuer ESA 2010 sector for the template CSDBIDIRCLASSIFICATIONCODEESAO10
CSDB_IDIRCLASSIFICATIONCODE_ESAI10,ECB,CSDB_IDIRCLASSIFICATIONCODE_ESAI10,Mapping of Instrument ESA 2010 class for the template CSDBIDIRCLASSIFICATIONCODEESAI10
CSDB_PUBLICATIONPRICEQUOTATIONBASIS,ECB,CSDB_PUBLICATIONPRICEQUOTATIONBASIS,Mapping of Quotation basis for the template CSDBPUBLICATIONPRICEQUOTATIONBASIS
SHS_PD,ECB,SHS_PD,SHS_PD
SHS_TPH,ECB,SHS_TPH,Mapping of Third Party Holdings Relevance for Aggregation for the template SHS
SHS_ESCB,ECB,SHS_ESCB,Mapping of ESCB for the template SHS
SHS_FREQ,ECB,SHS_FREQ,Mapping of Frequency for the template SHS
SHS_ISIN,ECB,SHS_ISIN,SHS_ISIN
SHS_PERIOD,ECB,SHS_PERIOD,SHS_PERIOD
SHS_EAPLUS,ECB,SHS_EAPLUS,Mapping of EA plus for the template SHS
SHS_MRKT_VL,ECB,SHS_MRKT_VL,SHS_MRKT_VL
SHS_ARREARS,ECB,SHS_ARREARS,SHS_ARREARS
SHS_NMNL_VL,ECB,SHS_NMNL_VL,SHS_NMNL_VL
SHS_REF_AREA,ECB,SHS_REF_AREA,Mapping of Reporting Country for the template SHS
SHS_RSK_WGHT,ECB,SHS_RSK_WGHT,SHS_RSK_WGHT
SHS_EXPSR_VL,ECB,SHS_EXPSR_VL,SHS_EXPSR_VL
SHS_LGD_NRML,ECB,SHS_LGD_NRML,SHS_LGD_NRML
SHS_MAT_DATE,ECB,SHS_MAT_DATE,SHS_MAT_DATE
SHS_GROUP_ID,ECB,SHS_GROUP_ID,SHS_GROUP_ID
SHS_NOM_CURR,ECB,SHS_NOM_CURR,Mapping of Nominal currency for the template SHS
SHS_ISSUER_ID,ECB,SHS_ISSUER_ID,SHS_ISSUER_ID
SHS_GROUP_LEI,ECB,SHS_GROUP_LEI,SHS_GROUP_LEI
SHS_ENTITY_ID,ECB,SHS_ENTITY_ID,SHS_ENTITY_ID
SHS_YIELD_MAT,ECB,SHS_YIELD_MAT,SHS_YIELD_MAT
SHS_DEBT_TYPE,ECB,SHS_DEBT_TYPE,Mapping of Debt type for the template SHS
SHS_EARLY_RED,ECB,SHS_EARLY_RED,Mapping of Early redemptions included for the template SHS
SHS_ISSUE_DATE,ECB,SHS_ISSUE_DATE,SHS_ISSUE_DATE
SHS_GROUP_AREA,ECB,SHS_GROUP_AREA,Mapping of Country of residence of the group for the template SHS
SHS_PRICE_DATE,ECB,SHS_PRICE_DATE,SHS_PRICE_DATE
SHS_ISSUER_LEI,ECB,SHS_ISSUER_LEI,SHS_ISSUER_LEI
SHS_GROUP_TYPE,ECB,SHS_GROUP_TYPE,Mapping of Group type for the template SHS
SHS_IDENTIFIER,ECB,SHS_IDENTIFIER,SHS_IDENTIFIER
SHS_EXPSR_CLSS,ECB,SHS_EXPSR_CLSS,Mapping of Exposure class as defined in accordance with Regulation (EU) No 575/2013 for the template SHS
SHS_ENTITY_LEI,ECB,SHS_ENTITY_LEI,SHS_ENTITY_LEI
