CUBE_STRUCTURE_ITEM_LINK_ID,CUBE_LINK_ID,FOREIGN_CUBE_VARIABLE_CODE,PRIMARY_CUBE_VARIABLE_CODE
F_01_01_REF_FINREP_3_0:PRTY:Debt securities:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Debt securities,2324,1640
F_01_01_REF_FINREP_3_0:PRTY:Derivatives ETC:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Derivatives ETC,2324,1640
F_01_01_REF_FINREP_3_0:PRTY:Equity instruments instrument:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Equity instruments instrument,2324,1640
F_01_01_REF_FINREP_3_0:PRTY:Equity instruments security:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Equity instruments security,2324,1640
F_01_01_REF_FINREP_3_0:PRTY:Finance leases:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Finance leases,2324,1640
F_01_01_REF_FINREP_3_0:PRTY:On demand and short notice:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:On demand and short notice,2324,1640
F_01_01_REF_FINREP_3_0:PRTY:Other loans:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Other loans,2324,1640
F_01_01_REF_FINREP_3_0:PRTY:Reverse repurchase agreements:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Reverse repurchase agreements,2324,1640
F_01_01_REF_FINREP_3_0:PRTY:Trade receivables:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Trade receivables,2324,1640
F_01_01_REF_FINREP_3_0:SCRTY_ENTTY_RL_ASSGNMNT:Debt securities:PRTY_RL_TYP:ENTTY_RL_TYP,F_01_01_REF_FINREP_3_0:SCRTY_ENTTY_RL_ASSGNMNT:Debt securities,2325,1862
F_01_01_REF_FINREP_3_0:SCRTY_ENTTY_RL_ASSGNMNT:Derivatives ETC:PRTY_RL_TYP:ENTTY_RL_TYP,F_01_01_REF_FINREP_3_0:SCRTY_ENTTY_RL_ASSGNMNT:Derivatives ETC,2325,1862
F_01_01_REF_FINREP_3_0:SCRTY_ENTTY_RL_ASSGNMNT:Equity instruments security:PRTY_RL_TYP:ENTTY_RL_TYP,F_01_01_REF_FINREP_3_0:SCRTY_ENTTY_RL_ASSGNMNT:Equity instruments security,2325,1862
F_01_01_REF_FINREP_3_0:SCRTY_EXCHNG_TRDBL_DRVTV:Debt securities:NGTBL_SCRTY_INDCTR:NGTBL_SCRTY_INDCTR,F_01_01_REF_FINREP_3_0:SCRTY_EXCHNG_TRDBL_DRVTV:Debt securities,2328,1905
F_01_01_REF_FINREP_3_0:SCRTY_EXCHNG_TRDBL_DRVTV:Derivatives ETC:NGTBL_SCRTY_INDCTR:NGTBL_SCRTY_INDCTR,F_01_01_REF_FINREP_3_0:SCRTY_EXCHNG_TRDBL_DRVTV:Derivatives ETC,2328,1905
F_01_01_REF_FINREP_3_0:SCRTY_EXCHNG_TRDBL_DRVTV:Equity instruments security:NGTBL_SCRTY_INDCTR:NGTBL_SCRTY_INDCTR,F_01_01_REF_FINREP_3_0:SCRTY_EXCHNG_TRDBL_DRVTV:Equity instruments security,2328,1905
F_01_02_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Derivatives ETC:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_02_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Derivatives ETC,2179,778
F_01_02_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_02_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC,2178,813
F_01_02_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC:CRRYNG_AMNT:CRRYNG_AMNT,F_01_02_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC,2177,817
F_01_02_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC:TYP_HDG:TYP_HDG,F_01_02_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC,2183,831
F_01_02_REF_FINREP_3_0:INSTRMNT:Deposits:TYP_INSTRMNT:INSTRMNT_TYP_PRDCT,F_01_02_REF_FINREP_3_0:INSTRMNT:Deposits,2181,982
